airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625,2,No Info,13942
Jet Airways,2019-03-03,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,No Info,5678
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:15:00,645,1,No Info,7677
Indigo,2019-04-27,Kolkata,Banglore,15:15:00,17:45:00,150,0,No Info,4804
Air Asia,2019-06-01,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Indigo,2019-03-21,Delhi,Cochin,07:35:00,12:00:00,265,1,No Info,5073
Multiple Carriers,2019-06-03,Delhi,Cochin,04:55:00,12:35:00,460,1,No Info,11622
Air India,2019-03-06,Banglore,New Delhi,11:50:00,08:55:00,1265,1,No Info,14594
Indigo,2019-05-01,Chennai,Kolkata,13:15:00,15:35:00,140,0,No Info,3597
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,9870
Vistara,2019-06-03,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,7229
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,22:40:00,1580,1,No Info,8662
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1,In-flight meal not included,6007
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,20:20:00,790,1,No Info,8610
Vistara,2019-03-27,Delhi,Cochin,06:00:00,09:10:00,190,0,No Info,4851
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,8930
Indigo,2019-04-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1,In-flight meal not included,11087
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,19:10:00,1305,1,No Info,17471
Vistara,2019-05-06,Kolkata,Banglore,20:20:00,22:40:00,1580,1,No Info,8452
Indigo,2019-06-12,Kolkata,Banglore,06:20:00,10:20:00,240,1,No Info,4226
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,19:10:00,670,1,No Info,16736
Air India,2019-05-06,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No Info,10991
Indigo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,895,1,No Info,6794
Spicejet,2019-04-03,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,4098
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1,In-flight meal not included,11924
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1,In-flight meal not included,7064
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1680,1,In-flight meal not included,10262
Indigo,2019-04-01,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4174
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1,In-flight meal not included,8586
Multiple Carriers,2019-06-15,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,23:35:00,425,1,No Info,14781
Indigo,2019-04-24,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4804
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1015,1,No Info,13339
Jet Airways,2019-05-18,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3543
Air India,2019-05-15,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,8372
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1,In-flight meal not included,10262
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1,No Info,7731
Indigo,2019-05-09,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Multiple Carriers,2019-05-06,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13727
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1,In-flight meal not included,10031
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2,In-flight meal not included,8882
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,915,1,No Info,6065
Indigo,2019-06-09,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,6104
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0,In-flight meal not included,4544
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Indigo,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,6104
Jet Airways,2019-05-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Indigo,2019-03-03,Banglore,New Delhi,05:25:00,10:10:00,285,1,No Info,7774
Air India,2019-03-21,Delhi,Cochin,20:40:00,09:25:00,765,1,No Info,5642
Vistara,2019-06-24,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6216
Air India,2019-05-15,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,14431
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,01:30:00,830,1,No Info,6795
Indigo,2019-03-21,Delhi,Cochin,20:30:00,01:35:00,305,1,No Info,6232
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,19:45:00,2315,2,In-flight meal not included,8098
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No check-in baggage included,2385
Goair,2019-04-06,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,4201
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4491
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,9187
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,5636
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3257
Air India,2019-05-24,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No Info,12723
Indigo,2019-04-18,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:20:00,535,2,No Info,8366
Multiple Carriers,2019-03-09,Delhi,Cochin,17:50:00,01:35:00,465,2,No Info,23583
Air Asia,2019-05-15,Banglore,Delhi,04:55:00,07:45:00,170,0,No Info,4282
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,No Info,2227
Air India,2019-03-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,4937
Multiple Carriers,2019-05-15,Delhi,Cochin,11:40:00,19:15:00,455,1,No Info,9001
Air Asia,2019-05-01,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,4483
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,5894
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,14714
Indigo,2019-03-03,Delhi,Cochin,10:45:00,01:35:00,890,1,No Info,14871
Air India,2019-04-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,2575
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1055,1,In-flight meal not included,8529
Jet Airways,2019-05-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1,No Info,14231
Indigo,2019-03-01,Banglore,New Delhi,16:55:00,19:45:00,170,0,No Info,12649
Indigo,2019-06-27,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,09:05:00,765,1,No Info,7980
Air India,2019-03-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,2575
Vistara,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,4439
Air India,2019-06-06,Delhi,Cochin,17:40:00,08:15:00,875,1,No Info,7258
Indigo,2019-03-27,Chennai,Kolkata,13:20:00,15:35:00,135,0,No Info,3384
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,10486
Air India,2019-03-06,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,5462
Indigo,2019-04-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No Info,2754
Air India,2019-03-01,Banglore,New Delhi,10:30:00,22:55:00,745,1,No Info,11003
Goair,2019-06-01,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Multiple Carriers,2019-06-03,Delhi,Cochin,09:15:00,19:00:00,585,1,No Info,11622
Multiple Carriers,2019-05-09,Delhi,Cochin,14:00:00,21:00:00,420,1,No Info,13727
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,22:20:00,555,1,No Info,6076
Air India,2019-05-18,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7690
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0,No Info,7652
Air India,2019-05-09,Kolkata,Banglore,16:45:00,08:55:00,970,2,No Info,13227
Indigo,2019-03-12,Mumbai,Hyderabad,06:20:00,07:45:00,85,0,No Info,4049
Indigo,2019-05-27,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Indigo,2019-06-24,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00:00,1170,1,No Info,14781
Indigo,2019-06-06,Delhi,Cochin,06:50:00,22:30:00,940,1,No Info,6674
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2,No Info,17072
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1,In-flight meal not included,15342
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,09:20:00,1010,1,In-flight meal not included,9663
Indigo,2019-05-15,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3597
Indigo,2019-06-15,Delhi,Cochin,05:05:00,12:10:00,425,1,No Info,6818
Indigo,2019-03-03,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,12898
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,21:00:00,640,1,No Info,7005
Air India,2019-05-09,Kolkata,Banglore,14:30:00,12:30:00,1320,2,No Info,15107
Air Asia,2019-06-21,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,3807
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,23:35:00,1025,1,No Info,14571
Indigo,2019-06-09,Chennai,Kolkata,13:15:00,15:35:00,140,0,No Info,3597
Air India,2019-06-15,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,13591
Indigo,2019-05-27,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,3850
Air India,2019-06-03,Delhi,Cochin,09:45:00,09:25:00,1420,2,No Info,10975
Goair,2019-05-15,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,3419
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,9646
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1,In-flight meal not included,9663
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,20:20:00,790,1,No Info,8610
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2,In-flight meal not included,10368
Air India,2019-05-24,Kolkata,Banglore,05:50:00,13:15:00,445,2,No Info,7662
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1,No Info,18371
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1,In-flight meal not included,10031
Jet Airways,2019-04-12,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,11:25:00,340,1,Business class,79512
Spicejet,2019-05-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2175
Jet Airways,2019-03-12,Mumbai,Hyderabad,09:50:00,16:35:00,405,1,No Info,20120
Spicejet,2019-05-12,Kolkata,Banglore,15:55:00,21:25:00,330,1,No Info,8844
Indigo,2019-03-03,Delhi,Cochin,07:30:00,21:00:00,810,1,No Info,14871
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3919
Air Asia,2019-04-21,Delhi,Cochin,07:55:00,13:25:00,330,1,No Info,7452
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1,No Info,13759
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,6144
Air Asia,2019-03-18,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,4082
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2,No Info,12347
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No Info,3100
Air India,2019-05-01,Kolkata,Banglore,09:25:00,07:55:00,1350,1,No Info,8366
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,09:30:00,640,1,No Info,17261
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,170,0,No Info,4148
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,12:35:00,1040,1,In-flight meal not included,12898
Air India,2019-05-12,Kolkata,Banglore,09:25:00,11:10:00,1545,1,No Info,8891
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2,No Info,10835
Air India,2019-05-09,Kolkata,Banglore,10:00:00,01:20:00,920,2,No Info,13033
Indigo,2019-04-27,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,890,1,In-flight meal not included,10844
Air India,2019-03-24,Kolkata,Banglore,07:00:00,10:00:00,1620,2,No Info,11491
Jet Airways,2019-06-09,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,5678
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,04:25:00,550,1,In-flight meal not included,14053
Indigo,2019-05-15,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2245,2,No Info,18799
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,4544
Indigo,2019-05-27,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,5224
Air India,2019-06-01,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,15481
Air India,2019-05-18,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,6934
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,19:10:00,1570,1,No Info,14151
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1,No Info,12692
Air India,2019-05-01,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No Info,10991
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,740,1,In-flight meal not included,10844
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,14714
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,04:25:00,1280,1,In-flight meal not included,12898
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,18:15:00,705,1,No Info,14781
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13014
Vistara,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Indigo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,505,1,No Info,5307
Vistara,2019-05-21,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Air India,2019-06-12,Kolkata,Banglore,09:10:00,13:15:00,245,1,No Info,8996
Indigo,2019-05-09,Delhi,Cochin,23:30:00,04:35:00,305,1,No Info,8177
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2,No Info,15129
Indigo,2019-06-15,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,5298
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,12:35:00,1010,1,In-flight meal not included,12373
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,10844
Jet Airways,2019-04-06,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4544
Indigo,2019-06-09,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5054
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,12:35:00,885,1,In-flight meal not included,10262
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,09:00:00,965,1,In-flight meal not included,11087
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1,No Info,14151
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,23:35:00,1025,1,No Info,14571
Indigo,2019-06-21,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4804
Jet Airways,2019-04-21,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Air India,2019-05-27,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,16163
